Name,Id,Level,Hp,BaseExp,JobExp,Size,Race,Element,Custom
Scorpion,1001,16,153,16900,11500,Small,Insect,Fire1,False
Poring,1002,1,60,15000,4000,Medium,Plant,Water1,False
Hornet,1004,11,90,15800,9000,Small,Insect,Wind1,False
Familiar,1005,24,427,20000,15200,Small,Brute,Dark1,False
Fabre,1007,6,72,15800,6500,Small,Insect,Earth1,False
Pupa,1008,4,66,15700,5500,Small,Insect,Earth1,False
Condor,1009,12,114,16000,9500,Medium,Brute,Wind1,False
Willow,1010,8,91,16000,7500,Medium,Plant,Earth1,False
Chonchon,1011,5,57,15000,6000,Small,Insect,Wind1,False
Roda Frog,1012,13,160,16200,10000,Medium,Fish,Water1,False
Wolf,1013,45,1219,36900,30100,Medium,Brute,Earth1,False
Spore,1014,18,280,17500,12500,Medium,Plant,Water1,False
Zombie,1015,17,234,18900,11200,Medium,Undead,Undead1,False
Archer Skeleton,1016,50,1646,43600,32700,Medium,Undead,Undead1,False
Creamy,1018,23,378,19600,14800,Small,Insect,Wind1,False
Peco Peco,1019,25,446,20400,15600,Large,Brute,Fire1,False
Mandragora,1020,13,156,17000,10000,Medium,Plant,Earth3,False
Orc Warrior,1023,44,1434,36100,29300,Medium,DemiHuman,Earth1,False
Wormtail,1024,17,200,18000,12000,Medium,Plant,Earth1,False
Boa,1025,18,217,18300,12500,Medium,Brute,Earth1,False
Munak,1026,58,2445,54800,42200,Medium,Undead,Undead1,False
Soldier Skeleton,1028,34,804,28400,19800,Medium,Undead,Undead1,False
Isis,1029,59,2092,51000,45700,Large,Demon,Dark1,False
Anacondaq,1030,100,8510,138700,131600,Medium,Brute,Poison1,False
Poporing,1031,30,524,22900,18100,Medium,Plant,Poison1,False
Verit,1032,52,1944,47900,36200,Medium,Undead,Undead1,False
Elder Willow,1033,34,599,25900,21000,Medium,Plant,Fire2,False
Thara Frog,1034,40,1157,30000,25100,Medium,Fish,Water2,False
Hunter Fly,1035,63,2050,58800,53200,Small,Insect,Wind2,False
Ghoul,1036,61,2614,62000,48000,Medium,Undead,Undead2,False
Side Winder,1037,70,2736,67700,62100,Medium,Brute,Poison1,False
Osiris,1038,68,1175840,12276000,10044000,Medium,Undead,Undead4,False
Baphomet,1039,81,668000,21808900,16705300,Large,Demon,Dark3,False
Golem,1040,61,2245,56400,50800,Large,Formless,Neutral3,False
Mummy,1041,55,2155,51200,39000,Medium,Undead,Undead2,False
Steel Chonchon,1042,48,1199,37900,32800,Small,Insect,Wind1,False
Obeaune,1044,53,2158,44600,39300,Medium,Fish,Water2,False
Marc,1045,56,2522,47700,42400,Medium,Fish,Water2,False
Doppelganger,1046,77,380000,17226000,12528000,Medium,Demon,Dark3,False
Peco Peco Egg,1047,7,75,15200,7000,Small,Formless,Neutral3,False
Thief Bug Egg,1048,20,344,18100,13500,Small,Insect,Dark1,False
Picky,1049,9,95,15400,8000,Small,Brute,Fire1,False
Picky,1050,10,89,15500,8500,Small,Brute,Fire1,False
Thief Bug,1051,21,354,18800,14000,Small,Insect,Neutral3,False
Rocker,1052,15,185,17400,11000,Medium,Insect,Earth1,False
Thief Bug Female,1053,28,531,21900,17100,Medium,Insect,Dark1,False
Thief Bug Male,1054,30,595,22900,18100,Medium,Insect,Dark1,False
Muka,1055,23,468,20500,14800,Large,Plant,Earth1,False
Smokie,1056,29,591,23500,17600,Small,Brute,Earth1,False
Yoyo,1057,38,898,30000,23700,Small,Brute,Earth1,False
Metaller,1058,55,1687,46600,41300,Medium,Insect,Fire1,False
Mistress,1059,78,378000,18414000,15066000,Small,Insect,Wind4,False
Bigfoot,1060,29,587,23500,17600,Large,Brute,Earth1,False
Nightmare,1061,69,2872,59800,64100,Large,Demon,Ghost3,False
Santa Poring,1062,1,55,200,200,Medium,Plant,Holy1,False
Lunatic,1063,3,55,15000,5000,Small,Brute,Neutral3,False
Megalodon,1064,46,1335,39700,29200,Medium,Undead,Undead1,False
Strouf,1065,61,3052,56400,50800,Large,Fish,Water3,False
Vadon,1066,45,1252,35200,30100,Small,Fish,Water1,False
Cornutus,1067,48,1450,37900,32800,Small,Fish,Water1,False
Hydra,1068,34,854,25900,21000,Small,Plant,Water2,False
Swordfish,1069,57,2600,48800,43500,Large,Fish,Water2,False
Kukre,1070,42,1111,32800,27700,Small,Fish,Water1,False
Pirate Skeleton,1071,48,1411,41600,31000,Medium,Undead,Undead1,False
Kaho,1072,98,7045,134900,127800,Medium,Demon,Fire4,False
Crab,1073,43,1233,33600,28500,Small,Fish,Water1,False
Shellfish,1074,50,1680,39700,34600,Small,Fish,Water1,False
Skeleton,1076,27,612,23500,15600,Medium,Undead,Undead1,False
Poison Spore,1077,26,456,20900,16100,Medium,Plant,Poison1,False
Red Plant,1078,1,5,0,0,Small,Plant,Earth1,False
Blue Plant,1079,1,10,0,0,Small,Plant,Earth1,False
Green Plant,1080,1,5,0,0,Small,Plant,Earth1,False
Yellow Plant,1081,1,6,0,0,Small,Plant,Earth1,False
White Plant,1082,1,7,0,0,Small,Plant,Earth1,False
Shining Plant,1083,1,20,0,0,Small,Plant,Holy1,False
Black Mushroom,1084,1,5,0,0,Small,Plant,Earth1,False
Red Mushroom,1085,1,5,0,0,Small,Plant,Earth1,False
Golden Thief Bug,1086,65,222750,10206000,7776000,Large,Insect,Fire2,False
Orc Hero,1087,50,362000,5346000,4860000,Large,DemiHuman,Earth2,False
Vocal,1088,18,3317,4900,3900,Medium,Insect,Earth1,False
Toad,1089,27,660,8100,9100,Medium,Fish,Water1,False
Mastering,1090,42,1260,15700,17700,Medium,Plant,Water1,False
Dragon Fly,1091,47,1035,18000,20200,Small,Insect,Wind1,False
Vagabond Wolf,1092,93,8203,85300,130000,Medium,Brute,Earth1,False
Eclipse,1093,31,625,10300,11600,Medium,Brute,Neutral3,False
Ambernite,1094,19,340,17800,13000,Large,Insect,Water1,False
Andre,1095,33,724,26500,20400,Small,Insect,Earth1,False
Angeling,1096,77,19800,168300,134600,Medium,Angel,Holy4,False
Ant Egg,1097,28,530,21900,17100,Small,Formless,Neutral3,False
Anubis,1098,105,38826,301300,359700,Large,DemiHuman,Undead2,False
Argiope,1099,75,3105,79400,73400,Large,Insect,Poison1,False
Argos,1100,47,1005,37000,31900,Large,Insect,Poison1,False
Baphomet Jr.,1101,57,2035,48800,43500,Small,Demon,Dark1,False
Bathory,1102,86,5242,103500,97000,Medium,DemiHuman,Dark1,False
Caramel,1103,25,518,21400,15600,Small,Brute,Earth1,False
Coco,1104,38,836,30000,23700,Small,Brute,Earth1,False
Deniro,1105,31,671,25300,19200,Small,Insect,Earth1,False
Desert Wolf,1106,103,9447,158500,150700,Medium,Brute,Fire1,False
Baby Desert Wolf,1107,14,140,16400,10500,Small,Brute,Fire1,False
Deviace,1108,60,3135,52100,46800,Medium,Fish,Water4,False
Deviruchi,1109,93,8912,125600,118500,Small,Demon,Dark1,False
Dokebi,1110,68,2820,65100,59500,Small,Demon,Dark1,False
Drainliar,1111,47,1162,37000,31900,Small,Brute,Dark2,False
Drake,1112,91,804500,30909600,20898000,Medium,Undead,Undead1,False
Drops,1113,2,45,15000,4500,Medium,Plant,Fire1,False
Dustiness,1114,62,2026,57600,52000,Small,Insect,Wind2,False
Eddga,1115,65,947500,10395000,7425000,Large,Brute,Fire1,False
Eggyra,1116,53,1676,40200,41500,Medium,Formless,Ghost2,False
Evil Druid,1117,80,5149,95500,76600,Large,Undead,Undead4,False
Flora,1118,59,2301,53500,45700,Large,Plant,Earth1,False
Frilldora,1119,57,1821,48800,43500,Medium,Brute,Fire1,False
Ghostring,1120,90,26700,236800,223300,Medium,Demon,Ghost4,False
Giearth,1121,42,1118,34400,27700,Small,Demon,Earth1,False
Goblin,1122,48,1058,37900,32800,Medium,DemiHuman,Wind1,False
Goblin,1123,44,931,34400,29300,Medium,DemiHuman,Fire1,False
Goblin,1124,44,930,34400,29300,Medium,DemiHuman,Poison1,False
Goblin,1125,49,1494,40700,33700,Medium,DemiHuman,Earth1,False
Goblin,1126,56,2342,47700,42400,Medium,DemiHuman,Water1,False
Hode,1127,63,2676,61700,53200,Medium,Brute,Earth2,False
Horn,1128,32,705,25900,19800,Medium,Insect,Earth1,False
Horong,1129,66,2304,62500,56900,Small,Formless,Fire4,False
Jakk,1130,63,2054,58800,53200,Medium,Formless,Fire2,False
Joker,1131,90,6022,110300,103800,Large,DemiHuman,Wind4,False
Khalitzburg,1132,118,23986,286600,236800,Large,Undead,Undead1,False
Kobold,1133,107,10483,184500,175900,Medium,DemiHuman,Wind2,False
Kobold,1134,102,9152,156500,148700,Medium,DemiHuman,Poison2,False
Kobold,1135,101,9078,154500,146700,Medium,DemiHuman,Fire2,False
Kobold,1136,31,10,458250000,458250000,Medium,DemiHuman,Poison2,False
Kobold,1137,31,10,458250000,458250000,Medium,DemiHuman,Fire2,False
Magnolia,1138,53,1984,44600,39300,Small,Demon,Water1,False
Mantis,1139,65,2719,64200,55600,Medium,Insect,Earth1,False
Marduk,1140,73,2893,76600,70600,Large,DemiHuman,Fire1,False
Marina,1141,42,1209,32800,27700,Small,Plant,Water2,False
Marine Sphere,1142,51,1924,42600,37300,Small,Plant,Water2,False
Marionette,1143,90,7166,99300,109300,Small,Demon,Ghost3,False
Marse,1144,47,1456,37000,31900,Small,Fish,Water2,False
Martin,1145,39,1056,30700,24400,Small,Brute,Earth2,False
Matyr,1146,58,2087,49900,44600,Medium,Brute,Dark1,False
Maya,1147,55,380000,8928000,6696000,Large,Insect,Earth4,False
Medusa,1148,102,10045,156500,148700,Medium,Demon,Neutral2,False
Minorous,1149,58,1893,49900,44600,Large,Brute,Fire2,False
Moonlight Flower,1150,79,324000,18374400,13572000,Medium,Demon,Fire3,False
Myst,1151,49,1223,38800,33700,Large,Formless,Poison1,False
Orc Skeleton,1152,53,2077,49000,37100,Medium,Undead,Undead1,False
Orc Zombie,1153,51,1908,46800,35200,Medium,Undead,Undead1,False
Pasana,1154,79,3510,85400,79400,Medium,DemiHuman,Fire2,False
Petite,1155,86,5799,108600,97000,Medium,Dragon,Earth1,False
Petite,1156,79,3556,85400,79400,Medium,Dragon,Wind1,False
Pharaoh,1157,85,900000,22968000,16704000,Large,DemiHuman,Dark3,False
Phen,1158,52,1963,43600,38300,Medium,Fish,Water2,False
